Card Name,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit
Grave Mason,Undead,Talking,4 bones,1,4,Haunted Stonework,,,,"""Craft your vision.""",Murigen
Bones Malone,Undead,Talking,5 bones,2,1,"Sniper, Rattle 'em!",,,Skeleton,"""Piracy is stealing! I love stealing!""","Yoyo, Bluemem, NEWS"
Star Weaver,Undead,Talking,5 bones,1,4,"Equivalent Exchange, Gift Bearer",,,Skeleton,"""From dust I am born, to dust I succumb.""",Pixel Profligate
Unlucky Corpse,Undead,Talking,6 bones,2,2,Unearthed Pack,,,Zombie,"""Wow, great draw!""",Pixel Profligate
Witness of Ember,Undead,Talking,10 bones,2,2,"Double Strike, Pack Tactics, Abyss Cost",Abyss Watcher,,Zombie Canine,"""Allow me to finish our calling.""",Murigen
Unseelie Queen,Undead,Talking,2 blood,2,2,"Unseelie Authority, Witching Hour",,,Noble,"""Cower! It is now the Witching Hour!""",Herilind
L33pbot,Tech,Side Deck,free,0,2,"Mighty Leap, Bloodless",,,Leep Bot,Strong springs for jumping into action.,Pixel Profligate
Null Conduit,Tech,Side Deck,1 energy,0,2,Bloodless,,,Conduit,"Transfers power, but not much else.",Pixel Profligate
Sentry Drone,Tech,Side Deck,1 energy,0,1,"Sentry, Bloodless",,,Machine,Shoots anything that gets close.,Pixel Profligate
Junk-0,Tech,Common,1 energy,0,1,Stinky,,,Android,It's odd for rust to smell this bad.,Pixel Profligate
Automaton,Tech,Common,2 energy,1,1,,,,Bot,The most basic in function and form.,Pixel Profligate
Boom-o-latcher,Tech,Common,2 energy,0,1,Explosive Latch,,,Latcher,Loading others with extreme explosives.,Pixel Profligate
Pop-up Blocker,Tech,Common,2 energy,0,1,"Burrower, Armored",,,,Your damage request has been denied.,Answearing Machine
Draugear,Tech,Common,2 energy,0,1,"Frozen Away, Bloodless",ExeSkeleton,,Possessed Machine,"Cold, but not calculating.",Desaft
Energy Bot,Tech,Common,2 energy,0,1,Battery Bearer,,,Bot,Full of energy that it cannot use.,Pixel Profligate
Gift Bot,Tech,Common,2 energy,0,2,Gift Bearer,,,Bot,What could it be hiding from you?,Pixel Profligate
Billdozer,Tech,Common,2 energy,0,3,Bulldoze,,,Machine,"Well-meaning, but notoriously pushy.",syntaxevasion
Sparkplug,Tech,Common,2 energy,0,2,Dynamo,,,Bot,A surprisingly helpful piece of tech.,Murigen
49er,Tech,Common,3 energy,1,1,Sprinter,,,Android,"On the move, searching for something.",Pixel Profligate
Alarm Bot,Tech,Common,3 energy,2,1,Annoying,,,Bot,"Universally reviled, but always on time.",Pixel Profligate
Bone Mill,Tech,Common,3 energy,0,2,Fossil Fuel,,,Machine,Also useful for producing glue.,Desaft
Cable Latcher,Tech,Common,3 energy,1,2,Circuit Latch,,,Conduit Latcher,Just barely able to make a connection.,Murigen
Healing Conduit,Tech,Common,3 energy,0,2,Heal Conduit,,,Conduit,"An old model, but nonetheless effective.",Pixel Profligate
Insectodrone,Tech,Common,3 energy,1,2,Airborne,,,Bot,The buzz of its flight is irritating.,Pixel Profligate
Kind Cell,Tech,Common,3 energy,1,2,Generous when Powered,,,Cell,It might be feeling generous.,Pixel Profligate
M34t Bot,Tech,Common,3 energy,0,2,Hearty Offering,,,Bot,A... curious bot indeed.,Pixel Profligate
Marrow Cell,Tech,Common,3 energy,1,1,Digger when Powered,,,Cell,All bones obtained legally.*,Murigen
Pipe Bomb,Tech,Common,3 energy,0,2,"Detonator, Primed Explosive",,,Machine,Good play. Unfortunately...,Answearing Machine
Solar Cell,Tech,Common,3 energy,1,2,Power when Powered,,,Cell,"Making renewable energy, with no waste.",Murigen
Scrapton,Tech,Common,3 energy,1,2,Made of Stone,,,Bot,"Heavy and sluggish, but extremely solid.",Murigen
Guardian Cell,Tech,Common,4 energy,0,2,Breaker when Powered,,,Cell,Protective of what fuels them.,NULL
Shield Latcher,Tech,Common,3 energy,0,1,Shield Latch,,,Latcher,Protecting others better than itself.,Pixel Profligate
Sniper Bot,Tech,Common,3 energy,1,1,Sniper,,,Android,"Easy to aim, easy to shoot.",Pixel Profligate
50-nar,Tech,Common,3 energy,1,1,Takeoff Transformer,,,Mechabeast Vermin,Its irritating screeches are unbearable.,Pixel Profligate
Qu177,Tech,Common,3 energy,1,2,Spiky Transformer,,,Mechabeast Vermin,An ornery little tin can.,Pixel Profligate
Blood Conduit,Tech,Common,3 energy,0,2,Blood Conduit,,,Conduit,Even blood contains iron.,Murigen
Tough Cell,Tech,Common,3 energy,1,1,Buff when Powered,,,Cell,Now you're playing with power.,Pixel Profligate
Exeskeleton,Tech,Common,4 energy,2,2,Brittle,,,Skeleton Android,A frail and spooky mass of scrap metal.,Desaft
Explode Bot,Tech,Common,4 energy,1,1,Detonator,,,Bot,A bump could set it off.,Pixel Profligate
Factory Conduit,Tech,Common,4 energy,0,3,Spawn Conduit,,,Conduit,"Even in battle, the line does not stop.",Pixel Profligate
Overcharger,Tech,Common,4 energy,2,2,"Brittle, Detonator, Death Surge",,,Skeleton Android,It could blow at any moment...,Desaft
Shield Bot,Tech,Common,4 energy,1,1,Armored,,,Bot,"Surprisingly sturdy, given its size.",Pixel Profligate
Splinter Cell,Tech,Common,4 energy,1,1,Tri-strike when Powered,,,Cell,We couldn't fit a fourth strike.,Pixel Profligate
Buff Conduit,Tech,Common,4 energy,0,2,Attack Conduit,,,Conduit,Sometimes they need a little extra juice.,Pixel Profligate
Mox Memory Unit,Tech,Common,5 energy,0,4,Green Conduit,,,Mox Conduit,Emeralds are great for data tracking.,Pixel Profligate
Mox Hardware Unit,Tech,Common,5 energy,0,4,Orange Conduit,,,Mox Conduit,Rubies make for great energy conductors.,Pixel Profligate
Mox Processing Unit,Tech,Common,5 energy,0,4,Blue Conduit,,,Mox Conduit,Sapphires empower calculations.,Pixel Profligate
Nucl34pbot,Tech,Common,5 energy,0,4,"Mighty Leap, Generator, Dynamo, Rotting",,,Leep Machine,It cannot handle its own energy.,"Murigen, Nevernamed"
Skel-e-latcher,Tech,Common,5 energy,1,1,Toxic Latch,,,Latcher,Full of neurotoxins.,Pixel Profligate
Thick Droid,Tech,Common,5 energy,1,3,Bastion,,,Android,It's just happy to be here.,Pixel Profligate
K-9,Tech,Common,5 energy,1,2,Empowered Transformer,,,Mechabeast Canine,A vicious and twisted metal construct.,Pixel Profligate
Paper Shredder,Tech,Common,5 energy,0,2,"Desecration, Sharp Quills",,,Machine,For complete and proper disposal.,
4ntdroid,Tech,Common,6 energy,0,1,Deathtrap,,,Ant Insect Mechabeast,A scuttling little worker machine.,Pixel Profligate
Nanoarmor Conduit,Tech,Common,6 energy,0,2,Armor Conduit,,,Conduit,Even works against explosives.,Desaft
Steel Mice,Tech,Common,6 energy,1,2,Fecundity,,,Mechabeast Vermin,Keep their wires from getting tangled.,Pixel Profligate
Max Energy Keeper,Tech,Common,6 energy,0,5,No Max Reduction,,,Android,Can this be any more straightforward?,Murigen
Bolthound,Tech,Common,7 energy,2,3,Guardian,,,Canine Mechabeast Hound,A vicious and protective bucket of bolts.,Pixel Profligate
C-Diver,Tech,Common,7 energy,1,4,"Aquanaut, Armored",,,Android,"Works deep, even deeper than the Dredger.",Pixel Profligate
Gunbot,Tech,Common,1 max + 7 energy,4,1,"Piercing, Target Required",,,Bot,Built for one singular function.,Pixel Profligate
Technoripper,Tech,Common,1 max + 7 energy,3,1,Piercing,,,Android,A violent bot of claws and bullets.,Pixel Profligate
Core-v1d,Tech,Common,1 max + 8 energy,1,3,Takeoff Transformer,,,Mechabeast Avian,A metallic blight upon the skies.,Pixel Profligate
Gamblobot,Tech,Common,2 max + 7 energy,X,1,Power Dice,,,Machine,Push your luck. What could go wrong?,Pixel Profligate
L33p Launcher,Tech,Common,4 max + 7 energy,0,2,Yeetbot,L33pbot,,Machine,Springloaded for causing problems.,syntaxevasion
Rooktank,Tech,Common,2 max + 8 energy,1,5,Iron Wall,,,Chess,The best offense is a good defense.,Desaft
Steambot,Tech,Common,2 max + 8 energy,3,2,Hefty,,,Android,"Once a fighter, always a fighter.",Pixel Profligate
Swapbot,Tech,Common,2 max + 8 energy,2,5,Swapper,,,Bot,Reconfigures itself to suit its mood.,Pixel Profligate
Double Gunner,Tech,Common,2 max + 9 energy,2,1,Bifurcated Strike,,,Android,"Twice the guns, twice the power.",Pixel Profligate
Gift Bot EX,Tech,Common,2 max + 9 energy,1,3,"Mighty Leap, Generosity Bearer",,,Bot,Just one was never enough.,Murigen
Observer,Tech,Common,2 max + 9 energy,1,5,Sniper,,,Android,"Sees all it can, where it can.",Pixel Profligate
Security System,Tech,Common,2 max + 9 energy,0,3,Offense Upgrade,,,Machine,Makes its routine virus scan.,Murigen
Firewall,Tech,Common,1 max + 10 energy,0,5,"Burrower, Rampager, Sharp Quills",,,Machine,Nothing gets through without permission.,Pixel Profligate
Johnny,Tech,Common,2 max + 10 energy,3,1,Stinky,,,Bot,"Surprisingly clean, as no one uses him.",Answearing Machine
The Cube,Tech,Common,2 max + 10 energy,3,3,Swapper,,,Machine,The Cube.,Answearing Machine
Archiver,Tech,Common,3 max + 10 energy,1,2,"Re-Index, Defiler",,,Android,An intelligence dedicated to sorting files.,Desaft
Mecha Warrior,Tech,Common,3 max + 10 energy,2,2,"Double Strike, Warper",,,Android,An ultra high-power model.,Murigen
Overseer,Tech,Common,2 max + 12 energy,1,4,"Bifurcated Strike, Sentry, Sprinter",,,Android,Prowls factories searching intruders.,Murigen
Ducky,Tech,Common,3 max + 12 energy,2,3,"Waterborne, Annoying, Raging Flames",,,Avian Mechabeast,"This is ducky, the big one.",
Steel Jaw,Tech,Common,3 max + 12 energy,1,3,"Bloodsucker, Raging Flames, Deathtrap",,,Android,You can't hold it back forever.,Murigen
Exeskelemagbot,Tech,Uncommon,free,4,1,"Gem Dependent, Circuit Dependent",,,Skeleton Android Wizard,"It's not magic, it just needs extra juice.",Desaft
Important File,Tech,Uncommon,1 energy,1,1,"Search Engine, Death Sentence, Salvation",,,Bot,Best not let it die.,Pixel Profligate
Bad Fish,Tech,Uncommon,3 energy,0,1,"Brittle, Annoying",,,Mechabeast Fish,"An inefficient use of power, at best.",Pixel Profligate
Conveyor Bot,Tech,Uncommon,4 energy,0,1,"Restructure, Haunter",,,Machine Bot,Efficiency demands motion.,Murigen
C0pp3r-h34d,Tech,Uncommon,5 energy,1,3,Lethal Transformer,,,Mechabeast Reptile,Provides a violent shock to the system.,Pixel Profligate
Blood Bank,Tech,Uncommon,6 energy,0,2,"Hearty Offering, Life Donor, Convalesce, Sprinter",,,Machine,Blood is a resource and commodity.,Desaft
Good Fish,Tech,Uncommon,5 energy,1,1,"Waterborne, Sniper Transformer",,,Mechabeast Fish,,Merson
E1337bot,Tech,Uncommon,1 max + 8 energy,1,3,"Mighty Leap, Leep Leader",,,Leep Pirate,Takes problems into its own hands.,Murigen
Magnethead,Tech,Uncommon,2 max + 11 energy,2,1,"Piercing, Looter, Annoying",,,Bot,Gathers up scrap through brute force.,Murigen
Acid Squirrel,Tech,Uncommon,12 energy,0,1,Unkillable,,,Mechabeast Vermin,"It uses... I dunno, quantum mechanics?",Murigen
Very Big L33pbot,Tech,Uncommon,2 max + 12 energy,1,4,"Mighty Leap, Sentry, Poisonous",,,Leep,"Clunky, inefficient, and reeks of fumes.",Murigen
Plasma Jimmy,Tech,Rare,2 energy,0,3,Energy Gun,,,Bot,"Shoots on command, without hesitation.",Pixel Profligate
Amoebot,Tech,Rare,3 energy,1,1,Amorphous,,,Bot,Adapts and reforms as needed.,Pixel Profligate
Borg Poly-worg,Tech,Rare,3 energy,0,3,"Armored, Mighty Leap, Leep Legion",,,Amphibian Android,Frog. Frog. Frog. Frog.,Pixel Profligate
Curve Hopper,Tech,Rare,4 energy,2,3,,,,Android,Statistically very powerful for its cost.,Pixel Profligate
Energy Conduit,Tech,Rare,3 energy,1,2,"Energy Conduit, Generator",,,Conduit,Infinite power at your fingertips.,Pixel Profligate
Gr1zz,Tech,Rare,6 energy,0,4,Enraged Transformer,,,Mechabeast,"A true beast, replicated by machinery.",Pixel Profligate
Ourobot,Tech,Rare,6 energy,2,2,Immortal Transformer,,,Mechabeast Reptile,"The eternal android, unyielding by design.",Pixel Profligate
Overclock Conduit,Tech,Rare,6 energy,0,2,Overclock Conduit,,,Conduit,"Infinite power, itty bitty circuit space.",Desaft
Sgt. T. Rustbucket III,Tech,Rare,6 energy,1,1,Legion,,,Android,Has got quite the portfolio.,Murigen
Shutterbug,Tech,Rare,6 energy,1,1,"Sentry, Touch of Death",,,Machine,One photo to capture your last moment.,Pixel Profligate
L33pbot NEO,Tech,Rare,7 energy,2,2,"Mighty Leap, Airborne, Leep Leader",,,Leep Avian,The strongest springs.,Murigen
Mrs. Bomb,Tech,Rare,7 energy,1,1,Remote Bomb,,,Android,"A bombshell, through and through.",Pixel Profligate
Quickdraw Bot,Tech,Rare,3 max + 10 energy,2,2,"Sniper, Touch of Death",,,Android,Its internal clock is set to high noon.,Desaft
Titanium Titan,Tech,Rare,3 max + 12 energy,2,7,"Made of Stone, Overcharge",,,Android,A perfect weapon of mass destruction.,PaperPyro
The Mechanism,Tech,Rare,4 max + 12 energy,0,2,"Overpower, Death Sentence",,,Machine,The solution/cause to all your problems.,Murigen
Assemblotron Primus,Tech,Rare,3 blood,3,3,"Assembly, Sniper, Armored",,,Android,"Together, we are might!",Murigen
Dredger,Tech,Talking,4 energy,1,2,"Aquanaut, Overclocked",,,Android,"""Oi, lookit. I'm somefin' uv a card.""",Pixel Profligate
Inspector,Tech,Talking,4 energy,1,2,Search Engine,,,Conduit Android,"""I suppose your deck is adequate.""",Pixel Profligate
Maintenance Droid,Tech,Talking,5 energy,1,3,Hotfix,,,Conduit Android,"""Doesn't matter. I'll just make it again.""",Answearingmachine
Melter,Tech,Talking,5 energy,2,3,"Frozen Away, Raging Flames",M34t Bot,,Android,"""WE ARE-- I am... a good card.""",Pixel Profligate
Holo-Trader,Tech,Talking,6 energy,1,3,"B34st Tamer, Mech Builder",,,,"""The true beasts are no more.""",Pixel Profligate
Blue Bot,Tech,Talking,1 max + 7 energy,X,3,"Snake Eyes, Power Dice",,,Android,"""I have a 1 in 36 chance of being meta!""",Bluemem
Steven,Tech,Talking,1 max + 8 energy,2,2,"Attack Conduit, Null Conduit, Haunter",,,Noble,"""Oh, and employee? You're Fired.""",Murigen
Bolt Van Tankski,Tech,Talking,1 max + 11 energy,1,7,Sentry,,,Android,"""Bolt Van Tankski reporting for duty.""",
Cyber Hero,Tech,Talking,3 max + 12 energy,1,3,"Trifurcated Strike, Sniper Transformer",,,Android,"""I've got it all, and then some!""",Murigen
Emerald Mox,Magick,Side Deck,free,0,1,"Green Gem, Bloodless",,,Mox,A conduit for magicks of the body.,Pixel Profligate
Ruby Mox,Magick,Side Deck,free,0,1,"Orange Gem, Bloodless",,,Mox,A conduit for magicks of the soul.,Pixel Profligate
Sapphire Mox,Magick,Side Deck,free,0,1,"Blue Gem, Bloodless",,,Mox,A conduit for magicks of the mind.,Pixel Profligate
Prism Mox,Magick,Common,free,0,1,"Prism Gem, Bloodless",,,Mox,A powerful conduit for all magicks.,Pixel Profligate
Erratic Scholar,Magick,Common,1 prism,1,1,Mox Dropper,,,,Constantly losing their own research.,Pixel Profligate
Mage Pupil,Magick,Common,free,1,2,Gem Dependent,,,Mage,A new learner of magicks.,Pixel Profligate
Antimagician,Magick,Common,1 shattered prism,2,2,"Purist, Gem Dependent",,,Wizard,Some magicks simply must be stopped.,Pixel Profligate
Mirror Mage,Magick,Common,1 prism,X,2,Facsimile,,,Mage,A pure reflection of one's own flaws.,Pixel Profligate
Spell Slinger,Magick,Common,1 prism,1,1,"Gem Dependent, Sniper",,,Mage,Adept at casting spells from a distance.,Pixel Profligate
Stasis Mage,Magick,Common,1 prism,0,1,"Frozen Away, Bloodless",Spell Slinger,,Mage,Has time to reconsider their study field.,Pixel Profligate
Magic Missile,Magick,Uncommon,2 shattered prisms,1,1,"Trifurcated Strike, Sniper, Brittle",,,,A well-known incantation.,Murigen
Grand Astrologer,Magick,Rare,2 prisms,1,4,"Event Horizon, All-Sight, True Prism",,,Wizard,"They see all, as it is bare before them.",Pixel Profligate
Flawless Clockwork,Magick,Rare,3 prisms,3,3,"Made of Stone, Bastion, True Prism",,,Mox Construct,An immaculate construct of perfect mox.,Pixel Profligate
Brush Mage,Magick,Talking,1 prism,1,2,Overcoat,,,Mage,"""Lemme give that a new coat of paint!""",Pixel Profligate
Alchemist,Magick,Common,1 emerald,0,2,"Transmogutate, Leading Arcane",,,Wizard,Recklessly practices transmutation.,Murigen
Fabergé Frog,Magick,Common,1 emerald,1,1,"Sentry, Familiar",,,Amphibian,A small agent of small magicks.,Pixel Profligate
Gloom Virtuoso,Magick,Common,1 emerald,1,1,Glooming Dust,,,Wizard,"Saddening, artistic talent put to war.",Murigen
Green Mage,Magick,Common,1 emerald,X,2,Gem Powered,,,Mage,They are powered directly by gems.,Pixel Profligate
Jade Automata,Magick,Common,1 emerald,1,1,"Heart of Dust, Bloodless",,,Construct,A hardy construct fueled by mox.,Pixel Profligate
Junior Sage,Magick,Common,1 emerald,1,2,,,,Sage,A new learner of the body's magicks.,Pixel Profligate
Muscle Mage,Magick,Common,1 emerald,0,2,"Hefty, Empowered Transformer",,,Mage,Just loves to push people around.,Pixel Profligate
Shade Soul,Magick,Common,1 emerald,0,1,Dust Gatherer,,,Mage Spectre,They collect magickal remnants.,Murigen
Tenebrose Vessel,Magick,Common,1 emerald,0,2,Body of Dust,,,Aberration,A faithful provider of their own body.,Murigen
Stim Mage,Magick,Common,1 emerald,0,2,Stimulate,,,Mage,Can push themselves beyond their limits.,Pixel Profligate
Twilight Magus,Magick,Common,1 emerald,0,2,Sparkling Dust,,,Mage,Wells of power sleep in fragments.,syntaxevasion
Corpsebloom Overgrowth,Magick,Common,2 emeralds,1,1,"Stinky, Evolving Arcane",Terror of Verdure,,Flower Aberration,,Murigen
Druid,Magick,Common,1 emerald + 1 prism,0,3,Lifeblood,,,Mox Sage,Magic is the heart of nature.,Murigen
Senior Sage,Magick,Common,1 emerald + 1 prism,1,3,Upbringing,,,Sage,Here to welcome the new generation.,Murigen
Splitmind Maniac,Magick,Common,1 emerald + 1 prism,1,3,"Split Strike, Shadow Arcane",,,Aberration Wizard,Fractured and maddened by the unknown.,Murigen
Waxmelt Scrivener,Magick,Common,1 emerald + 1 prism,1,3,Amorphous,,,Corrupted Sage,Barely able to copy inscriptions.,Murigen
Crystalline Carrier,Magick,Common,1 emerald + 2 prisms,X,3,"Fragment Hoard, Gem Powered",,,Corrupted,Magick brought them to life.,Murigen
Garish Geode,Magick,Common,1 shattered emerald,0,2,"Green Gem, Green Gem, Fragment Hoard, Bloodless",,,Mox,A formation high in magickal power.,Murigen
Umbral Servant,Magick,Common,1 emerald,0,1,"Familiar, Dust Power, Heart of Dust",,,Aberration Sage,Hardly stands on its own.,Herilind
Veiled Scourge,Magick,Common,1 shattered emerald,0,3,Dust Power,,,Corrupted Wizard,A lowly hermit gleaning from scraps.,Murigen
Dark Abjurer,Magick,Common,1 shattered emerald + 1 shattered prism,0,3,"Sentry, Sharp Quills, Bloodlust",,,Aberration Wizard,The corpses it makes fuel it with power.,Murigen
Fleeting Conjuror,Magick,Common,1 shattered emerald + 1 shattered prism,X,2,"Double Strike, Brittle, Gem Powered",,,Wizard Spectre,Powerful magick in a fleeting form.,Pixel profligate
Terror of Verdure,Magick,Uncommon,4 emeralds,2,5,"Snag, Bloodlust",,,Flower Aberration,The might of the jungle has awoken.,Murigen
Shadow Boxer,Magick,Uncommon,1 shattered prism + 1 shattered emerald,2,2,Dusted Knuckles,,,Wizard,They'll knock the magick out of you.,Bluemem
Folding Weaver,Magick,Rare,1 shattered emerald + 1 shattered prism,1,3,Infinifold,,,Wizard Wizard Wizard Wizard Wizard Wizard,"A self similar magick, honed to infinity.",Bluemem
Gloam Archmagus,Magick,Rare,1 emerald + 1 prism,1,2,Dooming Dust,,,Wizard,All things good must end...,Herilind
Skulking Valravn,Magick,Rare,1 shattered emerald + 1 shattered prism,0,5,"Dust Power, Dust Gatherer",,,Corrupted Avian,It feasts on broken relics.,Pixel Profligate
Masked Gemhorror,Magick,Rare,2 emerald + 1 prism,X,2,"Bifurcated Strike, Dust Eater, Gem Powered",,,Aberration,"Frail, but powerful beyond belief.",Desaft
Void Maw,Magick,Rare,2 prisms + 1 emerald,X,5,"Bloodsucker, Gem-locked",,,Aberration,The all-consuming terror from the abyss.,Omega Shambler
Grand Transmuter,Magick,Rare,1 shattered emerald,1,2,"Green Gem, Prism Latch",,,Corrupted Mage,"Their greatest work, themselves.",Herilind
Umbral Puppeteer,Magick,Rare,1 shattered emerald,0,3,Illusion Dust,,,Wizard,Their servants are lucky to have them.,Herilind
Puppet Mage,Magick,Talking,1 emerald,1,1,"Touch of Death, Soul Stealer, Bloodless",,,Posessed Mage,,Pixel Profligate
Shower Mage,Magick,Talking,1 emerald,1,2,Putrid Essence,,,Mage,"""Uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh...""",Murigen
Slime Mage,Magick,Talking,1 emerald,1,1,Imitation Art,,,Mage,"""AARRGH! I'll try my best!""",Pixel Profligate
Ambush Mage,Magick,Common,1 ruby,1,1,Aggressive,,,Mage,This attack could have been predicted.,Murigen
Gem Detonator,Magick,Common,1 ruby,1,1,Gem Detonator,,,,A rebel among the ranks.,Murigen
Gem Doctor,Magick,Common,1 ruby,1,1,Gem Reinforce,,,Sage,Still practices with healing crystals.,Murigen
Lizard Wizard,Magick,Common,1 ruby,1,1,"Loose Tail, Familiar",Wriggling Tail,,Reptile,king gizzard died in the bite of 87,
Mage Knight,Magick,Common,1 ruby,1,3,"Gem Dependent, Sharp Quills",,,Mage Knight,Ever stalwart in the face of challenge.,Pixel Profligate
Orange Mage,Magick,Common,1 ruby,0,1,Gem Animator,,,Mage Knight,"With practice, even mox have potential.",Pixel Profligate
Practice Wizard,Magick,Common,1 ruby,0,3,Taunt,,,Wizard Construct,"Good for getting hit, but not much else.",Pixel Profligate
Resolute Gemsmith,Magick,Common,1 ruby,0,3,Gem Intercept,,,,An expert jeweler.,syntaxevasion
Ruby Golem,Magick,Common,1 ruby,1,1,"Ruby Heart, Bloodless",Ruby Mox,,Construct,A hulking construct driven by mox.,Pixel Profligate
Spike Mage,Magick,Common,1 ruby,0,2,Gem Instability,,,Mage,Some mox magicks can be very unstable.,Murigen
Telekinetic,Magick,Common,1 ruby,1,1,Restructure,,,Mage,Summoned when a formation is broken.,Murigen
Wisp,Magick,Common,1 ruby,0,1,Soul Strike,,,Mox Spectre,"Without form, but charged in its will.",
Exalted Warden,Magick,Common,1 ruby + 1 prism,1,3,"Snag, Unstable Arcane",,,Wizard Knight,Stopping awry magicks is quite a feat.,Murigen
Iron Maiden,Magick,Common,1 ruby + 1 prism,1,1,"Armored, Sharp Quills",,,Machine,The price of insubordinance is pain.,Pixel Profligate
Tamer Toad,Magick,Common,1 ruby + 1 prism,1,3,Truest Patron,,,Amphibian Sage,"The magic of beasts, the beast of magic.",Desaft
Guardian Mage,Magick,Common,1 shattered ruby,1,1,Gem Guardian,,,Mage,Protective of what fuels their magic.,Pixel Profligate
Mox Mage,Magick,Common,1 shattered ruby,1,2,"Orange Gem, Familiar",,,Mox Mage,A mox gained form... how curious.,Pixel Profligate
Basilisk,Magick,Common,1 shattered ruby,1,6,"Familiar, Made of Stone, Bastion",,,Reptile,Don't look it in the eyes. It'll go away.,Murigen
Spellsword Mercenary,Magick,Common,1 ruby + 1 prism,1,1,"Soul Strike, Enhanced Arcane",,,Posessed Sage,A proud mage's honor never dies.,Murigen
Gem Banneret,Magick,Uncommon,1 ruby + 1 prism,0,2,"Leader, Annoying",,,Wizard Knight,Rallying the inanimate into a fervour.,Pixel Profligate
Koi,Magick,Uncommon,1 ruby,0,1,"Leader, Waterborne, Familiar",,,Fish,No longer suited to live in the wild.,Murigen
Enigmatic Paladin,Magick,Rare,1 ruby + 1 prism,2,2,Repulsing Arcane,,,Sage Knight,"An imprenetrable defense, when empowered.",Pixel Profligate
Grand Machinist,Magick,Rare,2 rubies + 1 prism,0,3,"Gem Animator, Gem Instability, Gem Greed",,,Wizard,A paragon of gem augmentation.,Herilind
Knight of Amber,Magick,Rare,1 ruby + 1 prism,1,4,"Made of Stone, Dust Barrier",,,Aberration Knight,"Sworn to protect, for all eternity.",Pixel Profligate
Odious Sovereign,Magick,Rare,3 rubies,1,5,"Gem Greed, Leading Arcane",,,,Hungry for riches and power.,Murigen
Pike Sage,Magick,Talking,1 ruby,1,1,Sharp Piercer,,,Sage,"""Ideally, you will play me well.""",Pixel Profligate
Mending Mage,Magick,Talking,1 ruby,1,3,Gem Repair,,,Mage,"""Doesn't matter!! I got another one!!!""",
Ardent Intellectual,Magick,Common,1 sapphire,1,2,Arcane Echo,,,Sage,His success comes from copying others.,Murigen
Blue Mage,Magick,Common,1 sapphire,0,1,Mental Gemnastics,,,Mage,Creation is a powerful tool.,Pixel Profligate
Crow,Magick,Common,1 sapphire,1,1,"Airborne, Familiar, All-Sight",,,Avian,It might have found something magical.,Murigen
Esoteric Savant,Magick,Common,1 sapphire + 1 prism,0,3,Reaction Replica,,,Corrupted Wizard,Never content with casting a spell once.,Murigen
Gem Fiend,Magick,Common,1 sapphire,2,1,Gem Dependent,,,Corrupted Sage,"Ravenous, driven mad by the gems.",Pixel Profligate
Hover Mage,Magick,Common,1 sapphire,1,2,Airborne,,,Mage,"Flight is challenging, but useful.",Pixel Profligate
Lazuli Construct,Magick,Common,1 sapphire,1,1,"Repulsing Transformer, Bloodless",,,Mox Construct,"An intricate construct, driven by mox.",Pixel Profligate
Magickant,Magick,Common,1 ruby,0,2,"Many Lives, Familiar",,,Ant Insect,It has learned the summoner's ways.,Desaft
Party Magician,Magick,Common,1 sapphire,1,1,Rabbit Hole,,,Mage,"Nothing spectacular, but entertaining.",Pixel Profligate
Spell Counter,Magick,Common,1 sapphire,0,2,Cold Read,,,Wizard,Knowledge is power.,Murigen
Soothsayer,Magick,Common,1 sapphire,1,2,Divination,,,Sage,"Can see the future, but not change it.",Pixel Profligate
Summoner's Rift,Magick,Common,1 sapphire,0,2,Wild Reshape,,,Aberration,Only the fates know what will emerge.,Murigen
Bauble Burglar,Magick,Common,1 shattered sapphire,1,1,"Side Hustle, Aiming Arcane",,,Outlaw,,Murigen
Heartflayer,Magick,Common,1 shattered sapphire,X,1,traeH Power,,,Corrupted Sage,Armed with perfect knowledge of its foe.,Murigen
Fortune Teller,Magick,Common,1 sapphire + 1 prism,1,3,All-Sight,,,Wizard,Do you wish to know your fate?,Murigen
Opulent Hoodlum,Magick,Common,1 sapphire + 1 prism,0,3,Rampager,,,Outlaw Mox Wizard,A purveyor of dark-market crystals.,Murigen
Solemn Arcanist,Magick,Common,1 sapphire + 1 prism,1,2,Arcane Blessing,,,Corrupted Sage,He sees magicks as crucial for triumph.,Murigen
Arcane Trickster,Magick,Common,1 shattered sapphire,X,1,"Sniper, Facsimile",,,Outlaw,A deadly master of sleight of hand.,Murigen
Clandestine Swindler,Magick,Common,1 shattered sapphire + 1 shattered prism,1,1,"Bifurcated Strike, Looter",,,Outlaw,Flawless crimes lead to opportunities.,Murigen
Gembound Ripper,Magick,Common,1 shattered sapphire + 1 shattered prism,4,4,Gem Dependent,,,Aberration,A lust for gems and for blood.,Pixel Profligate
Force Mage,Magick,Uncommon,1 sapphire,0,1,Repulsive,,,Mage,Repelling the greatest of assaults.,Pixel Profligate
Pedantic Hag,Magick,Uncommon,1 shattered sapphire,1,1,"Corpse Eater, Purist, Gem Dependent",,,Corrupted Sage,Rambles on incorrect spell recitations.,Murigen
